Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,14357,968,519,0,997,991,25731,0,-37830178,144913508,50
1,14423,974,519,0,995,988,25731,0,-37830269,144913508,50
1,14461,976,519,0,1002,991,25728,0,-37830274,144913480,50
1,14506,979,519,0,1006,990,25721,0,-37830281,144913448,50
1,14531,985,519,0,1003,993,25692,0,-37830286,144913418,50
1,14577,985,519,0,997,998,25683,0,-37830291,144913388,60
1,14598,988,519,0,998,992,25715,0,-37830297,144913358,60
1,14662,989,518,0,993,995,25696,0,-37830302,144913328,60
1,14669,990,518,0,994,992,25749,0,-37830307,144913298,60
1,14731,994,518,0,997,993,25748,0,-37830314,144913266,60
1,14756,996,519,0,1000,993,25718,0,-37830319,144913236,60
1,14803,998,519,0,1007,991,25697,0,-37830324,144913206,60
1,14847,1001,518,0,1003,992,25686,0,-37830331,144913175,60
1,14880,1004,518,0,998,991,25697,0,-37830336,144913145,50
1,14929,1007,518,0,1000,995,25702,0,-37830342,144913113,50
1,14951,1011,518,0,996,996,25698,0,-37830347,144913083,50
1,15007,1012,519,0,984,1017,25701,0,-37830352,144913051,50
1,15000,1012,518,0,985,1031,25750,0,-37830359,144913021,50
1,14513,1003,519,0,985,1049,25727,0,-37830364,144912990,50
1,14005,986,519,0,982,1052,25697,0,-37830369,144912958,50
1,13357,969,519,0,985,1045,25707,0,-37830376,144912928,50
1,13446,949,519,0,989,1048,25677,0,-37830381,144912898,50
1,13477,933,519,0,989,1039,25629,0,-37830387,144912868,50
1,13018,918,519,0,991,1045,25608,0,-37830392,144912840,50
1,12931,902,519,0,988,1042,25572,0,-37830399,144912811,50
1,12615,888,519,0,981,1045,25562,0,-37830404,144912783,50
1,12419,871,519,0,971,1046,25550,0,-37830409,144912756,50
1,12297,854,519,0,960,1044,25538,0,-37830416,144912730,50
1,11995,838,519,0,946,1045,25512,0,-37830421,144912703,50
1,11897,822,519,0,933,1045,25494,0,-37830426,144912676,50
1,11689,807,519,0,921,1045,25440,0,-37830432,144912651,50
1,11463,790,519,0,911,1048,25345,0,-37830437,144912626,50
1,11282,773,519,0,901,1049,25214,0,-37830444,144912603,50
1,11125,756,519,0,898,1053,25040,0,-37830452,144912580,50
1,10853,737,519,0,889,1056,24831,0,-37830459,144912558,50
1,10585,718,520,0,884,1060,24578,0,-37830467,144912536,50
1,10188,698,519,0,881,1061,24296,0,-37830476,144912515,50
1,9966,675,519,0,880,1054,23982,0,-37830486,144912496,50
1,9643,654,519,0,875,1059,23592,0,-37830496,144912478,50
1,9342,636,519,0,875,1046,23268,0,-37830507,144912461,50
1,9117,615,520,0,883,1055,22778,0,-37830519,144912448,50
1,9044,597,520,0,886,1038,22303,0,-37830531,144912435,50
1,9029,582,520,0,887,1051,21816,0,-37830544,144912423,50
1,8828,565,519,0,885,1042,21236,0,-37830557,144912415,50
1,8689,549,519,0,888,1046,20702,0,-37830571,144912408,50
1,8602,532,519,0,888,1037,20031,0,-37830584,144912403,50
1,8337,517,519,0,888,1026,19600,0,-37830597,144912400,50
1,8261,504,519,0,893,1014,19035,0,-37830611,144912398,50
1,8369,498,519,0,896,999,18317,0,-37830624,144912400,50
