20-10-2024,13:51,12,12226,GO KART CLUB OF VICTORIA,AARYAN,00,',44,'',20,ALFANO 6,END,3,0, ,no delete partiel,,10,NOT USED,NOT USED,20-10-2024,13:51,GO KART CLUB OF VICTORIA,AARYAN,NOT USED,NOT USED
lap,time lap,time partiel 1,time partiel 2,time partiel 3,time partiel 4,time partiel 5,time partiel 6,Min RPM,Max RPM,Min Speed GPS,Max Speed GPS,Min T1,Max T1,Min T2,Max T2,Min T3,Max T3,Min T4,Max T4,Min Speed sensor,Max Speed sensor, RPM max gear,Type de champs,Vbattery,max EGT,Hdop
1,47270,15540,13720,18010,0,0,0,6082,14731,360,995,383,429,0,0,0,0,0,0,0,0,13812,7,3760,0,11
2,44900,14600,13100,17200,0,0,0,6755,14932,423,1008,429,474,0,0,0,0,0,0,0,0,14181,7,3760,0,11
3,44610,14990,12110,17510,0,0,0,6860,15048,315,1018,474,502,0,0,0,0,0,0,0,0,14419,7,3760,0,11
4,44710,14420,13080,17210,0,0,0,6981,15147,419,1024,502,519,0,0,0,0,0,0,0,0,13966,7,3760,0,11
5,44600,14410,12790,17400,0,0,0,6955,15007,440,1012,518,531,0,0,0,0,0,0,0,0,14005,7,3760,0,11
6,45390,14360,13520,17510,0,0,0,7021,15045,441,1016,529,537,0,0,0,0,0,0,0,0,13086,7,3760,0,11
7,44200,14110,12980,17110,0,0,0,6958,15159,455,1025,535,544,0,0,0,0,0,0,0,0,13844,7,3760,0,11
8,44370,14360,13130,16880,0,0,0,6811,15212,427,1028,540,548,0,0,0,0,0,0,0,0,14309,7,3760,0,11
9,44710,14240,13090,17380,0,0,0,7261,15060,465,1018,539,546,0,0,0,0,0,0,0,0,14374,7,3760,0,11
10,45130,14360,13160,17610,0,0,0,6733,15086,430,1020,540,549,0,0,0,0,0,0,0,0,14117,7,3760,0,11
11,44480,14400,13060,17020,0,0,0,7004,15079,448,1017,541,548,0,0,0,0,0,0,0,0,14517,7,3760,0,11
12,44220,14250,13060,16910,0,0,0,7243,15290,432,1032,544,550,0,0,0,0,0,0,0,0,14211,7,3760,0,11
